Date,Product,Channel,Platform,Spend,Lead,Clicks,Impressions,CPL,CTR,Conversion_Rate
2025-01-01,Dairy,Facebook,Lead Form,53.16,18.0,0.0,2123,2.953333333333333,0.0,1800.0
2025-01-01,Dairy,Facebook,Lead Web,32.7,0.0,0.0,2886,32.7,0.0,0.0
2025-01-01,Dairy,Facebook,Other,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-01-01,Life,Facebook,Lead Form,55.26,10.0,0.0,3677,5.526,0.0,1000.0
2025-01-01,Life,Facebook,Lead Web,117.16,0.0,0.0,22518,117.16,0.0,0.0
2025-01-01,Life,Facebook,Other,0.0,1.0,0.0,0,0.0,0.0,100.0
2025-01-01,Life,Google,Other,0.24,0.0,2.0,6,0.24,33.33333333333333,0.0
2025-01-01,Sucrose,Facebook,Lead Form,51.46,12.0,0.0,6634,4.288333333333333,0.0,1200.0
2025-01-01,Sucrose,Facebook,Lead Web,64.93,0.0,0.0,11733,64.93,0.0,0.0
2025-01-01,Sucrose,Facebook,Other,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-01-02,Dairy,Facebook,Lead Form,85.11,9.0,0.0,3327,9.456666666666667,0.0,900.0
2025-01-02,Dairy,Facebook,Lead Web,6.13,0.0,0.0,429,6.13,0.0,0.0
2025-01-02,Dairy,Facebook,Other,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-01-02,Life,Facebook,Lead Form,84.65,15.0,0.0,4607,5.6433333333333335,0.0,1500.0
2025-01-02,Life,Facebook,Lead Web,172.69,0.0,0.0,23801,172.69,0.0,0.0
2025-01-02,Life,Facebook,Other,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-01-02,Life,Google,Other,3.33,0.0,11.0,57,3.33,19.298245614035086,0.0
2025-01-02,Sucrose,Facebook,Lead Form,84.74,22.0,0.0,9403,3.8518181818181816,0.0,2200.0
2025-01-02,Sucrose,Facebook,Lead Web,75.16,0.0,0.0,11747,75.16,0.0,0.0
2025-01-02,Sucrose,Facebook,Other,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-01-03,Dairy,Facebook,Lead Form,85.37,9.0,0.0,3316,9.485555555555557,0.0,900.0
2025-01-03,Dairy,Facebook,Lead Web,3.1,0.0,0.0,220,3.1,0.0,0.0
2025-01-03,Dairy,Facebook,Other,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-01-03,Life,Facebook,Lead Form,82.82,11.0,0.0,4469,7.529090909090908,0.0,1100.0
2025-01-03,Life,Facebook,Lead Web,179.68,0.0,0.0,28168,179.68,0.0,0.0
2025-01-03,Life,Facebook,Other,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-01-03,Life,Google,Other,83.95,2.0,63.0,641,41.975,9.82839313572543,3.1746031746031744
2025-01-03,Sucrose,Facebook,Lead Form,86.91,25.0,0.0,8622,3.4764,0.0,2500.0
2025-01-03,Sucrose,Facebook,Lead Web,113.83,0.0,0.0,19568,113.83,0.0,0.0
2025-01-03,Sucrose,Facebook,Other,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-01-04,Dairy,Facebook,Lead Form,85.88,20.0,0.0,2986,4.294,0.0,2000.0
2025-01-04,Dairy,Facebook,Lead Web,13.18,0.0,0.0,1155,13.18,0.0,0.0
2025-01-04,Dairy,Facebook,Other,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-01-04,Life,Facebook,Lead Form,89.76,13.0,0.0,4554,6.904615384615385,0.0,1300.0
2025-01-04,Life,Facebook,Lead Web,195.87,0.0,0.0,26868,195.87,0.0,0.0
2025-01-04,Life,Facebook,Other,0.0,0.0,0.0,0,0.0,0.0,0.0
